Total chunks: 651
Line   1 | Ch     I | 1. The Tamil Nadu Government.-
Line 329 | Ch    XV | 320. Endorsement.-
Line 330 | Ch    XV | 321. Press Communique and Press Note.-
Line 331 | Ch    XV | 322. Proceedings.-
Line 332 | Ch    XV | 323. Address entries in fair copies of Proceedings.-
Line 333 | Ch    XV | 324.
Line 334 | Ch    XV | 325. Letters.-
Line 335 | Ch    XV | 326. Demi-officials.-
Line 336 | Ch    XV | 327. Questions in the Legislative Assembly.-
Line 337 | Ch    XV | 328. Marking of important and urgent communications.-
Line 338 | Ch    XV | 329. Preparation of disposal dockets.-
Line 339 | Ch    XV | 330.
Line 340 | Ch    XV | 331. Special precautions for checking financial statements.-
Line 341 | Ch    XV | 332. Signing of papers.-
Line 342 | Ch    XV | 333. Form of authentication of orders and proceedings.-
Line 343 | Ch    XV | 334.
Line 344 | Ch    XV | 335.
Line 345 | Ch    XV | 336. Signing of letters.-
Line 346 | Ch    XV | 337.
Line 347 | Ch    XV | 338. Signing of orders on appeals for mercy.-
Line 348 | Ch    XV | 339. Signing of fair copies-Special cases.-
Line 349 | Ch    XV | 343.
Line 350 | Ch    XV | 344. Date of receipt to be entered on papers.-
Line 351 | Ch    XV | *345. Transmission of papers to and their treatment.-
Line 352 | Ch    XV | *346.
Line 353 | Ch    XV | 347.
Line 354 | Ch    XV | 348. One envelope for all communications for same officer.-
Line 355 | Ch    XV | 349. Checking of postal receipts for registered articles.-
Line 356 | Ch    XV | 350. Despatch of copies of Government Orders within the Secretariat.-
Line 357 | Ch    XV | 351. Method of enclosing papers in envelopes.-
Line 358 | Ch    XV | 352. When papers may be sent packed-Used wax or cloth.-
Line 359 | Ch    XV | 353. Use of special envelopes in certain cases.-
Line 360 | Ch    XV | 354. Use of "Economy label".-
Line 361 | Ch    XV | 355. Contents not to be noted on "Economy label".-
Line 362 | Ch    XV | 356. Mode of addressing non-confidential packets.-
Line 363 | Ch    XV | 357. Mode of addressing envelopes containing demi-official letters.-
Line 364 | Ch    XV | 358. Communications sent to headquarters of addressees.-
Line 365 | Ch    XV | 359. Marking "Important", "Urgent", etc.-
Line 366 | Ch    XV | 360. Special instructions relating to "Petitions for mercy".-
Line 367 | Ch    XV | 361. Packets sent by post.-
Line 368 | Ch    XV | 362. Local delivery.-
Line 369 | Ch    XV | 363. Despatch of valuables Procedure.-
Line 370 | Ch    XV | 364. Despatch of records to the Tribunal for disciplinary proceedings.-
Line 371 | Ch    XV | 365. "Urgent" and "Special" despatch by special messengers.-
Line 372 | Ch    XV | 366. Affixure of despatch stamp on office copy.-
Line 373 | Ch    XV | 367. Signed copy of printed proceedings To whom sent.-
Line 374 | Ch    XV | 368.
Line 375 | Ch    XV | 369.
Line 376 | Ch    XV | 370. Postage charges.-
Line 377 | Ch    XV | 371.
Line 378 | Ch    XV | 372. Which communications are sent "service paid".-
Line 379 | Ch    XV | 373. Service Stamps not to be used for Foreign Countries.-
Line 380 | Ch   XVI | 377. Central Record Branch Repository of current records.-
Line 381 | Ch   XVI | 378. Control.-
Line 382 | Ch   XVI | 379. Inspection.-
Line 383 | Ch   XVI | 380. Functions of the Central Record Branch.-
Line 384 | Ch   XVI | 381. Custody or records.-
Line 385 | Ch   XVI | 382. Duties of the Record establishment Section Officer.-
Line 386 | Ch   XVI | 383. Record Assistants.-
Line 387 | Ch   XVI | 384. Record Clerks.-
Line 388 | Ch   XVI | 385. Office Assistant.-
Line 389 | Ch   XVI | 386. Working hours (i) Working days.-
Line 390 | Ch   XVI | 387. Lights in record rooms.-
Line 391 | Ch   XVI | 388. Closing of the Central Record Branch.-
Line 392 | Ch   XVI | 389.
Line 393 | Ch   XVI | 390. Particular of records maintained.-
Line 394 | Ch   XVI | 391. Supply of records Rules.-
Line 395 | Ch   XVI | 392. Access of research students to records.-
Line 396 | Ch   XVI | 393. Requisition for record Noting of current No. or purpose.-
Line 397 | Ch   XVI | 394. Return of put away papers.-
Line 398 | Ch   XVI | 395. Deposit of fresh disposals.-
Line 399 | Ch   XVI | 396.
Line 400 | Ch   XVI | 397. Watching of return of records.-
Line 401 | Ch   XVI | 398. Central Record Branch Reminders.-
Line 402 | Ch   XVI | 399. Tracing of missing originals.-
Line 403 | Ch   XVI | 400. Register of proceedings, volumes, index, etc., maintenance.-
Line 404 | Ch   XVI | 401. Deposit of personal registers and Government Order numbering books.-
Line 405 | Ch   XVI | 402. Destruction of records.-
Line 406 | Ch   XVI | 403. Procedure Regarding Destruction of Records.-
Line 407 | Ch   XVI | 404. Before the records are actually destroyed.-
Line 408 | Ch   XVI | 405. Mode of destruction.-
Line 409 | Ch   XVI | 406. Register of records destroyed to be maintained.-
Line 410 | Ch   XVI | 407. Transfer of confidential records from departments of.-
Line 411 | Ch   XVI | 408.
Line 412 | Ch   XVI | 409. Records in Tamil Nadu Archives Instructions.-
Line 413 | Ch   XVI | 410. Preparation of record boards.-
Line 414 | Ch   XVI | 411. Precautions against white-ants and record pests.-
Line 415 | Ch  XVII | 412. Introductory.-
Line 416 | Ch  XVII | 413. The Secretariat sub-exchange, Fort St. George.-
Line 417 | Ch  XVII | 414. Arrangements during Saturdays, Sundays and other holidays.-
Line 418 | Ch  XVII | 415. How to get connection through the Sub-exchange External connections.-
Line 419 | Ch  XVII | 416. Special instructions for the operator at the sub-exchange.-
Line 420 | Ch  XVII | 417. Instructions to telephone Assistants at the several office connections.-
Line 421 | Ch  XVII | 418. Written messages General instructions.-
Line 422 | Ch  XVII | 419. Telephone messages to and from officers.-
Line 423 | Ch  XVII | 420.
Line 424 | Ch  XVII | 421. Care of telephones.-
Line 425 | Ch  XVII | 422. Repairs to telephones.-
Line 426 | Ch  XVII | 423. Changes in the Chennai Telephone Directory.-
Line 427 | Ch  XVII | 424. Payment of Telephone Charges.-
Line 428 | Ch  XVII | 425. Residential Telephones Recovery of charges for excess calls.-
Line 429 | Ch  XVII | 426. Correspondence regarding telephones.-
Line 430 | Ch  XVII | 427.
Line 431 | Ch  XVII | 428. Secretariat Inter-communication System.-
Line 432 | Ch XVIII | 429. Control over buildings.-
Line 433 | Ch XVIII | 430. Supervision over the buildings.-
Line 434 | Ch XVIII | 431. Repairs and improvements.-
Line 435 | Ch XVIII | 432. Counter signature of estimates.-
Line 436 | Ch XVIII | 433.
Line 437 | Ch XVIII | 434. Furniture, etc.-
Line 438 | Ch XVIII | 435. Officers' rooms.-
Line 439 | Ch XVIII | 436. Precautions against fire.-
Line 440 | Ch XVIII | 437.
Line 441 | Ch XVIII | 438. Electric installations.-
Line 442 | Ch XVIII | 439.
Line 443 | Ch XVIII | 440. Use of electric lights, fans and lifts.-
Line 444 | Ch XVIII | 441. Conservancy and watch and ward staff.-
Line 445 | Ch XVIII | 442. Control.-
Line 446 | Ch XVIII | 443. Watch and Ward staff.-
Line 447 | Ch XVIII | 444. Conservancy staff.-
Line 448 | Ch XVIII | 445. Hours of attendance.-
Line 449 | Ch XVIII | 446. Uniform.-
Line 450 | Ch XVIII | 447. Sentries.-
Line 451 | Ch XVIII | 448. Closing of the office.-
Line 452 | Ch XVIII | 449. Night watch.-
Line 453 | Ch XVIII | 450. Legislative Assembly Chambers.-
Line 454 | Ch XVIII | 451.
Line 455 | Ch XVIII | 452. Tiffin rooms.-
Line 456 | Ch XVIII | 453. Filter.-
Line 457 | Ch XVIII | 454. Lavatories.-
Line 458 | Ch XVIII | 455. Motor sheds.-
Line 459 | Ch XVIII | 455A. Place of Worship.- The Public (Buildings) Department, should
Line 460 | Ch XVIII | 456. Waste paper.-
Line 461 | Ch   XIX | 457. Functions.-
Line 462 | Ch   XIX | 458. Control.-
Line 463 | Ch   XIX | 459. Staff.-
Line 464 | Ch   XIX | 460. Supervision of staff.-
Line 465 | Ch   XIX | 461. Daily itinerary.-
Line 466 | Ch   XIX | 462.
Line 467 | Ch   XIX | 463. Special calls at the Ministers' houses.-
Line 468 | Ch   XIX | 464. No trips on Government holidays.-
Line 469 | Ch   XIX | 465. Registers.-
Line 470 | Ch    XX | 466. Conditions of Service - Secretariat - Establishment.-
Line 471 | Ch    XX | 467.
Line 472 | Ch    XX | 468. Tamil Nadu Secretariat-Establishment.-
Line 473 | Ch    XX | 469. Allotments, Promotion, reversions and re-allotments under one unit Scheme.-
Line 474 | Ch    XX | 470. Appointment of Record Clerks and Office Assistants.-
Line 475 | Ch    XX | 471. Service Registers.-
Line 476 | Ch    XX | 472.
Line 477 | Ch    XX | 473. Maintenance of Duplicate Service Registers by Government Servants.-
Line 478 | Ch    XX | 474.
Line 479 | Ch    XX | 475. Punishments, Suspension, etc. Entries to be made.-
Line 480 | Ch    XX | 476. Review of suspension cases suo-moto.-
Line 481 | Ch    XX | 477. Personal files (1) Introduction.-
Line 482 | Ch    XX | 2. Object.-
Line 483 | Ch    XX | 3. Applicability.-
Line 484 | Ch    XX | 4. Periodicity.-
Line 485 | Ch    XX | 6. Method of writing personal files.-
Line 486 | Ch    XX | 7. Method of reporting upon the integrity of the officer.-
Line 487 | Ch    XX | 8. Open system.-
Line 488 | Ch    XX | 9. Communication of adverse remarks.-
Line 489 | Ch    XX | 10. Entries to be made and not to be made in the Personal Files.-
Line 490 | Ch    XX | 11. Preservation of Personal Files.-
Line 491 | Ch    XX | 12. Watching movement of personal files.-
Line 492 | Ch    XX | 478. Regulation of Services and completion of probation.-
Line 493 | Ch    XX | 479. Probation Register Maintenance of - Procedure.-
Line 494 | Ch    XX | 480. Probation sheet.-
Line 495 | Ch    XX | 481. Maintenance of Increment Register.-
Line 496 | Ch    XX | 482. Temporary Establishment Register.-
Line 497 | Ch    XX | 483. *Appointment to substantive capacity.-
Line 498 | Ch    XX | 484. Advancement to Selection Grade/Special Grade Posts in.-
Line 499 | Ch    XX | 485.
Line 500 | Ch    XX | 486. Preparation of Pension Papers.-
Line 501 | Ch    XX | 487.
Line 502 | Ch    XX | 488. Family Pension-Mode of Payment.-
Line 503 | Ch    XX | 489.
Line 504 | Ch    XX | 490.
Line 505 | Ch    XX | 491.
Line 506 | Ch    XX | 492.
Line 507 | Ch    XX | 493. Tamil Nadu Government Employees Special Provident Fund-.-
Line 508 | Ch   XXI | 494. General.-
Line 509 | Ch   XXI | 495. Preparation of Bills.-
Line 510 | Ch   XXI | 496.
Line 511 | Ch   XXI | 497.
