Page   1 | 27(A) e-Office application and the procedures for implementation of
Page 176 | 397. Watching of return of records.— Duties of the Central Record
Page 176 | 398. Central Record Branch Reminders.— When reminders from the
Page 177 | 399. Tracing of missing originals.— Whenever an original paper is not
Page 177 | 400. Register of proceedings, volumes, index, etc., maintenance
Page 177 | 401. Deposit of personal registers and Government Order
Page 178 | 402. Destruction of records.— The periodical destruction of records
Page 181 | 403. Procedure Regarding Destruction of Records.— The Section
Page 181 | 404. Before the records are actually destroyed.— (i) The docket
Page 182 | 405. Mode of destruction.— Each sheet of the records, books and
Page 182 | 406. Register of records destroyed to be maintained.— The records
Page 182 | 407. Transfer of confidential records from departments of
Page 182 | 408. Annual transfer of records to the Tamil Nadu Archives.— The
Page 184 | 409. Records in Tamil Nadu Archives — Instructions.— (a) Records
Page 185 | 410. Preparation of record boards.— The following instructions for
Page 185 | 411. Precautions against white-ants and record pests.— Whenever
Page 186 | 412. Introductory.— Telephones have been installed in the Secretariat
Page 186 | 413. The Secretariat sub-exchange, Fort St. George.— (i) The sub-
Page 186 | 414.
Page 187 | 415. How to get connection through the Sub-exchange.— External
Page 187 | 416. Special instructions for the operator at the sub-exchange.—
Page 189 | 417. Instructions to telephone Assistants at the several office
Page 189 | 418. Written messages.— General instructions.— (i) A telephone
Page 190 | 419. Telephone messages to and from officers.— (i) Telephone
Page 190 | 420. No member of the staff lower in rank than a Section Officer shall
Page 190 | 421. Care of telephones.— The telephone instruments and the cords
Page 191 | 422. Repairs to telephones.— When a telephone gets out of order, the
Page 191 | 423. Changes in the Chennai Telephone Directory.— It is most
Page 191 | 424. Payment of Telephone Charges.— (1) The Accounts Officer /
Page 191 | 425. Residential Telephones.— Recovery of charges for excess
Page 192 | 426. Correspondence regarding telephones.— Departments of the
Page 192 | 427. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 192 | 428. Secretariat Inter-communication System.— To cater to the
Page 193 | 429. Control over buildings.— The Secretariat Buildings and permanent
Page 193 | 430. Supervision over the buildings.— One of the Under Secretaries of
Page 193 | 431. Repairs and improvements.— (a) All improvements and repairs to
Page 194 | 432. Counter signature of estimates.— Estimates amounting to
Page 194 | 433. Estimates amounting to Rs.15,000/- and below for repairs and
Page 194 | 434. Furniture, etc.— For the supply and repair of furniture, movable
Page 194 | 435. Officers' rooms.— (a) Departments of the Secretariat should make
Page 195 | 436. Precautions against fire.— The Secretariat Buildings and
Page 196 | 437. Rules to be observed on outbreak of fire.— The following rules
Page 197 | 438. Electric installations.— The electric installations in the Secretariat
Page 197 | 439. The electric installations in the Assembly Chambers in the Fort St.
Page 197 | 440. Use of electric lights, fans and lifts.— (a) Particular care should
Page 199 | 441. Conservancy and watch and ward staff.— The Conservancy and
Page 199 | 442. Control.— The staff are under the control of the Under Secretary
Page 199 | 443. Watch and Ward staff.— The Supervisor (Security) shall be
Page 200 | 444. Conservancy staff.— The Supervisor (Conservancy) shall be
Page 200 | 445. Hours of attendance.— The hours of attendance of the
Page 200 | 446. Uniform.— The Watch and Ward staff and the conservancy staff
Page 200 | 447. Sentries.— The Watch and Ward staff shall do entry duty from 7.00
Page 201 | 448. Closing of the office.— The Security Guards should take charge of
Page 201 | 449. Night watch.— The Watch and Ward staff should see that no one
Page 201 | 450. Legislative Assembly Chambers.— During the days on which
Page 201 | 451. Omitted (vide G.O.(Ms) No.36, Personnel & Administrative Reforms
Page 201 | 452. Tiffin rooms.— The tiffin rooms provided for the Secretariat staff
Page 202 | 453. Filter.— The Supervisor (Conservancy) shall also be in-charge of the
Page 202 | 454. Lavatories.— Separate lavatories have been provided for—
Page 202 | 455. Motor sheds.— Motor sheds intended for officers are under the
Page 202 | 455A. Place of Worship.— The Public (Buildings) Department, should
Page 202 | 456. Waste paper.— Every working day before 10 a.m., the waste paper
Page 204 | 457. Functions.— There are two circulation vans. They are primarily
Page 204 | 458. Control.— The vans work under the control of the Chief Secretary.
Page 204 | 459. Staff.— Besides the driver, an office Assistant of the Public
Page 204 | 460. Supervision of staff.— The staff is under the immediate control of
Page 204 | 461. Daily itinerary.— The van will start work at 8.00 a.m. every
Page 205 | 462. On days previous to and following Sundays and other public
Page 205 | 463. Special calls at the Ministers' houses.— The van will not
Page 206 | 464. No trips on Government holidays.— On Sundays and other public
Page 206 | 465. Registers.— In connection with the upkeep of the circulation vans,
Page 207 | 466. Conditions of Service – Secretariat – Establishment.—
Page 208 | 467. Conditions of Service in the Tamil Nadu Legislative Assembly
Page 208 | 468. Tamil Nadu Secretariat-Establishment — Matters under One
Page 211 | 469. Allotments, Promotion, reversions and re-allotments under
Page 211 | 470. Appointment of Record Clerks and Office Assistants.—
Page 212 | 471. Service Registers.— A record of service of each Government
Page 212 | 472. Maintenance of Service Book, Entries to be made, Annual
Page 215 | 473. Maintenance of Duplicate Service Registers by Government
Page 216 | 474. Certificate of Physical fitness, Nominations and Statements to
Page 217 | 475. Punishments, Suspension, etc. Entries to be made —
Page 219 | 476. Review of suspension cases suo-moto — Proposals for
Page 221 | 477. Personal files.— (1) Introduction.— The system of maintaining
Page 221 | 2. Object.— Personal files are important documents relating to the
Page 221 | 3. Applicability.— The Personal Files should be maintained in respect of
Page 221 | 4. Periodicity.— The reporting officer should not normally write the
Page 222 | 6. Method of writing personal files.— Reporting Officers should apply
Page 222 | 7. Method of reporting upon the integrity of the officer.— Reporting
